[ 14,  96], [ 17,  51], [ 22,   7], [ 35,  57], [ 43,  48], [ 70,  12], [ 71,  58], [ 82,  72], [ 83,  40], [ 99,  27]  L=  4  S= -6  U=143  D=211  E=66.9781
[ 17,  72], [ 27,  10], [ 28,  19], [ 47,  35], [ 63,  55], [ 69,   2], [ 80,  87], [ 96,  76], [ 98,  97], [ 99,  34]  L=  2  S= -8  U= 62  D=199  E=66.9783
[ 23,  28], [ 32,  46], [ 41,  87], [ 45,  33], [ 54,  20], [ 75,  70], [ 80,   2], [ 86,  88], [ 90,  19], [ 99,  72]  L=  4  S= -6  U= 67  D=227  E=66.9785
[ 35,  16], [ 52,  40], [ 60,  56], [ 72,  91], [ 80,  64], [ 84,  86], [ 88,  54], [ 90,  85], [ 93,  27], [ 99,  62]  L=  2  S= -8  U= 21  D=193  E=66.9779
[ 20,  16], [ 30,  57], [ 33,  39], [ 52,  65], [ 58,  53], [ 64,  36], [ 69,  46], [ 81,  25], [ 83,  37], [ 96,  62]  L=  3  S= -7  U= 46  D=196  E=66.9781
[  6,  10], [ 11,  28], [ 18,   3], [ 21,  68], [ 51,  96], [ 73,  32], [ 77,   4], [ 79,  47], [ 92,  19], [ 99,  38]  L=  4  S= -6  U=113  D=295  E=66.9783
[  5,  28], [ 26,  69], [ 30,   7], [ 38,  80], [ 54,  52], [ 71,  21], [ 74,   4], [ 79,  10], [ 83,  68], [ 86,  23]  L=  3  S= -7  U=108  D=292  E=66.9786
[ 20,  15], [ 41,  94], [ 42,  67], [ 52,  60], [ 74,  43], [ 79,   1], [ 81,  14], [ 84,  21], [ 91,  49], [ 97,  50]  L=  3  S= -7  U= 86  D=333  E=66.9782
[ 11,  91], [ 43,   9], [ 48,  12], [ 63,  76], [ 65,  44], [ 71,  17], [ 73,  42], [ 84,  57], [ 90,  55], [ 96,  21]  L=  2  S= -8  U= 93  D=313  E=66.9783
[ 10,  39], [ 37,  36], [ 43,  21], [ 54,  81], [ 57,  26], [ 62,  13], [ 68,  69], [ 86,  67], [ 88,  19], [ 93,  41]  L=  3  S= -7  U= 57  D=243  E=66.9784
[ 22,  90], [ 25,  94], [ 49,  79], [ 54,  48], [ 70,  28], [ 73,   9], [ 75,  67], [ 95,   7], [ 98,  20], [ 99,  92]  L=  3  S= -7  U=167  D=293  E=66.9785
[ 17,  80], [ 48,  73], [ 57,  34], [ 68,  27], [ 70,  16], [ 72,   5], [ 74,  31], [ 75,  69], [ 81,  28], [ 91,  45]  L=  2  S= -8  U= 88  D=333  E=66.9778
[ 17,   2], [ 56,  95], [ 58,  61], [ 68,  87], [ 78,  96], [ 80,  81], [ 91,  53], [ 93,  73], [ 98,  15], [ 99,  46]  L=  5  S= -5  U= 80  D=209  E=66.9783
[ 21,  76], [ 31,  61], [ 43,   1], [ 45,  71], [ 55,  35], [ 56,  34], [ 89,  87], [ 91,  32], [ 93,  44], [ 96,  81]  L=  3  S= -7  U=111  D=209  E=66.9779
[  6,  43], [  9,  47], [ 56,  14], [ 58,  16], [ 61,  98], [ 62,  20], [ 66,  21], [ 71,  29], [ 83,  41], [ 86,  44]  L=  3  S= -7  U=112  D=297  E=66.9787041349
